AOR,CI,down,up,p_val,case_group,control_group,casecount,controlcount,blah
0.81,0.81 (0.73-0.90),0.73,0.90,,"8.9% (597)","11.0% (738)",,"","Overall (n = 6,712/cohort)"
0.77,0.77 (0.68-0.88),0.68,0.88,,"9.0% (445)","11.7% (579)",,"","Women (n = 4,962/cohort)"
0.75,0.75 (0.60-0.94),0.60,0.94,,"10.0% (135)","13.1% (176)",,"","Men (n = 1,348/cohort)"
0.85,0.85 (0.71-1.00),0.71,1.00,,"11.9% (247)","14.0% (292)",,"","age <= 45 years (n = 2,084/cohort)"
0.75,0.75 (0.64-0.89),0.64,0.89,,"7.8% (251)","10.4% (335)",,"","age 46-64 years (n = 3,220/cohort)"
0.93,0.93 (0.71-1.23),0.71,1.23,,"7.2% (101)","7.7% (108)",,"","age >=65 years (n = 1,404/cohort)"
1.11,1.11 (0.81-1.54),0.81,1.54,,"10.2% (78)","9.3% (71)",,"","Black (n = 763/cohort)"
0.77,0.77 (0.68-0.87),0.68,0.87,,"9.1% (444)","11.8% (574)",,"","White (n = 4,857/cohort)"
0.74,0.74 (0.63-0.86),0.63,0.86,,"8.6% (291)","11.8% (397)",,"","No T2DM (n = 3,369/cohort)"
0.80,0.80 (0.69-0.93),0.69,0.93,,"9.2% (302)","11.5% (376)",,"","T2DM (n = 3,271/cohort)"
