AOR,CI,down,up,p_val,case_group,control_group,casecount,controlcount,blah
0.89,0.89 (0.85-0.94),0.85,0.94,,"44.1% (2,962)","48.3% (3,240)",,"","Overall (n = 6,712/cohort)"
0.91,0.91 (0.86-0.96),0.86,0.96,,"44.7% (2,215)","48.2% (2,409)",,"","Women (n = 4,962/cohort)"
0.84,0.84 (0.75-0.94),0.75,0.94,,"40.5% (546)","45.7% (616)",,"","Men (n = 1,348/cohort)"
0.90,0.90 (0.83-0.98),0.83,0.98,,"51.1% (1,064)","54.8% (1,142)",,"","age <= 45 years (n = 2,084/cohort)"
0.93,0.93 (0.86-1.00),0.86,1.00,,"43.4% (1,397)","45.7% (1,471)",,"","age 46-64 years (n = 3,220/cohort)"
0.88,0.88 (0.78-0.99),0.78,0.99,,"36.3% (510)","40.5% (569)",,"","age >=65 years (n = 1,404/cohort)"
0.99,0.99 (0.85-1.17),0.85,1.17,,"39.1% (298)","39.5% (301)",,"","Black (n = 763/cohort)"
0.89,0.89 (0.84-0.95),0.84,0.95,,"44.6% (2,168)","48.6% (2,361)",,"","White (n = 4,857/cohort)"
0.89,0.89 (0.83-0.96),0.83,0.96,,"46.3% (1,560)","50.9% (1,714)",,"","No T2DM (n = 3,369/cohort)"
0.92,0.92 (0.86-0.99),0.86,0.99,,"42.6% (1,395)","44.9% (1,469)",,"","T2DM (n = 3,271/cohort)"
